"Name";"OS";"CreationDate"
"RTP-CMS-RTP-01";"Red Hat Enterprise Linux 9 (64-bit)";"28/09/2023 13:06:36"
"CUST-VM-PARITUF-PROD-CHG0009672";;"16/10/2025 05:51:09"
"CUST-VM-RTA-alefa.mg-ACT-20140619-04469";;"01/01/1970 00:00:00"
"CUST-VM-RTA-iptv.mg-ACT-20140603-00928";"CentOS 6 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-RTA-sgc.mg-ACT-20140603-00958";;"01/01/1970 00:00:00"
"CUST-VM-SAMIFIN-ACT-20161129-04032";"Other 4.x Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-ENAC-REQ-20160826-00484";"CentOS 6 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-MSI-ACT-20171129-00321";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-SEMAECD-ACT-20170904-05213";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"STX-SHGLOBAL-INC0011334";"Ubuntu Linux (64-bit)";"13/06/2024 09:34:56"
"STX-CUST-NPAKADIN";"Ubuntu Linux (64-bit)";"15/11/2023 13:43:27"
"CUST-VM-STEPHAINABEAUTY- IX-20221018-00037-copy";;"07/04/2023 08:28:59"
"CUST-VM-CTMOTORS-ACT-20160307-01078";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-MMARKET";"Ubuntu Linux (64-bit)";"17/05/2024 12:38:20"
"CUST-VM-OTIMADA-ACT-20161007-03645 - REQ-20170317-06224";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"STX-CUST-AEROPUB";;"05/10/2023 09:08:38"
"STX-CUST-AEROPUB-old";"Microsoft Windows Server 2022 (64-bit)";"14/08/2023 13:59:33"
"STX-CUST-AEROPUB-v2024";"Ubuntu Linux (64-bit)";"16/01/2024 07:04:29"
"CUST-VM-BCMM";"Ubuntu Linux (64-bit)";"02/10/2024 07:55:43"
"CUST-VM-MEN-SRV2-BACKUP-ACT-20140623-03062";"CentOS 6 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-MEN-SRV1-ACT-20140623-03062";"CentOS 4/5/6 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-BONGOU-ACT-20170530-03617";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"BAOBAB-FW3";;"06/11/2024 07:37:01"
"BAOBAB-FW1-OFF";;"15/11/2023 05:28:08"
"BAOBAB-SRV-01-TEST";;"18/11/2024 18:54:52"
"BAOBAB-FW2-OFF";;"15/11/2023 13:08:27"
"STX-CUST-IX-4596-DGBF";"Debian GNU/Linux 12 (64-bit)";"08/05/2024 11:33:30"
"CUST-VM-IFRA-01";"Ubuntu Linux (64-bit)";"16/08/2024 14:29:03"
"CUST-VM-EXPRESS-2-REQ-20160205-01587";"Debian GNU/Linux 12 (64-bit)";"13/07/2022 12:01:06"
"CUST-VM-EXPRESS-REQ-20160205-01587";"CentOS 7 (64-bit)";"01/01/1970 00:00:00"
